name,score ,Type of server ,what specifcally ,Activity ,location,language,company/github projects?,community created projects,governance type,Research paper reading group?,paper channel?,"vc events,office/coworking hours,etc",jobs board/opportunities/funding links,links: (the links usually has the discord invite; google or dm me  if it isnt there) disc:seonresearch,notes
carperAI,4.5,Research,"ai,general",mostly inactive,discord,english ,no,no,company,no,no,no,no,https://carper.ai/,dead; everyone moved on to their own projects (you can find the links in the server)
norse,4.5,research,library for spiking neural networks,mostly inactive,discord,english ,yes,no,singular,no,no,no,no,https://github.com/norse,cool for neuromorphic stuff/if you need help with the library
chembioai,4.5,research,chembioai,inactive,discord,english ,no,no,ngo,no,no,no,no,https://chembioai.org/,dead; creator still posts hackathons tho
skunkworks ai,4.4,research,general,inactive,discord,english ,no,no,singular,no,no,no,no,https://twitter.com/skunkworks_ai/status/1699062357358755905,dead; think group still does stuff tho
open source ai club,4.3,research,general,inactive,discord,english ,no,no,singular,no,no,no,no,https://discord.gg/TCc5eUJCHY,nigh dead
commune ai,4.3,general,decentralized ai(?),mostly inactive,discord,english ,yes,no,crypto,no,no,no,no,https://communeai.org/,unsure 
unireps,4.2,general,workshop research on unifying representations in neural model,mostly inactive,discord,english ,no,no,academia,no,no,no,yes,https://unireps.org/2024/community,join the unireps discord if you care about unirepsno they got accepted to neurips but the discord is very dead
interpretability hangout,4.1,general,ai interpretability,inactive,discord,english ,no,no,singular,no,no,no,no,-,was useful back in the day
Talms and agentic AI,4.1,general,tool assisted language models,inactive,discord,english ,no,no,singular,no,no,no,no,https://discord.gg/SqSwKXmTEE,creator still posts some talks like once every few months
automorphic,4,company,finetuneing i think?,inactive,discord,english ,no,no,singular,no,no,no,no,automorphic.ai,Servers dead but website still working on the stuff they're up to
LLM360,4,general,community owned ai,mostly inactive,discord,english ,no,no,ngo,no,no,no,no,https://www.llm360.ai/,LLM360 enables communitynoowned AI through opennosource large model research and development.
snufa,4,general,conference on spiking neural networks (neuromorph),mostly inactive,discord,english ,no,no,academia,no,no,no,no,https://snufa.net/,neuro based workshop
fingptAI 4 finance,4,general,an AI for  finance,mostly inactive,discord,english ,no,no,singular,no,no,no,no,https://ai4finance.org/,"rip,this one's chinese"
open AI lab,4,general,ai learning,inactive,discord,english ,no,no,singular,no,no,no,no,https://discord.gg/gymPXhPA5S,used to host talks etc
RL4AA,3.9,research,RL,inactive,discord,english ,no,no,singular,no,no,no,no,-,ripperoni
discoresearch,3.9,research,LLMS,inactive,discord,english ,no,no,singular,no,no,no,no,https://huggingface.co/DiscoResearch,server's dead; group is still doing stuff tho
DMLR,3.6,general,journal on datacentric machine learning,inactive,discord,english ,no,no,academia,no,no,no,no,https://data.mlr.press/ ,this is a journal.
ai multiverse,3.5,general,unsure,inactive,discord,english ,no,no,singular,no,no,no,no,https://discord.gg/puRyrw869h,nigh dead
general reasoning,3.5,research,ai agents,mostly inactive,discord,english ,no,no,singular,no,no,no,no,https://huggingface.co/GeneralReasoning,"they are cooking something, discord is dead though."
prisma multimodal and mech interp,3.4,research,interpretability on all types of models,inactive,discord,english ,no,no,academia,no,no,no,no,https://twitter.com/soniajoseph_/status/1769839049026523276,prisma itself is fine for mech interp
semevalno2025notask11,3.2,general,conference text based emotion detection,inactive,discord,english ,no,no,academia,no,no,no,nonono,https://www.codabench.org/competitions/3863/,checb back next year
Ai tinkerers montreal,3.2,general,general,inactive,discord,english ,no,no,singular,no,no,no,no,-,the larger ai tinkerers groups are still active
gpu audio,3.1,general,"gpu for audio,not fully ai",inactive,discord,english ,no,no,singular,no,no,no,no,https://www.youtube.com/watch?v=FIKqriWhcYY,"dead,youtube is active"
All AI community,3.1,general,dead,inactive,discord,english ,no,no,singular,no,no,no,no,-,ded
QUARCC,3,general,quant trading,inactive,discord,english ,no,no,academia,no,no,no,no,https://quarcc.com,there might be some alpha here.
Q star investigations,3,casual,chatting about qstar in 2023,inactive,discord,english ,no,no,singular,no,no,no,no,-,dead
agi sandbox,2.9,general,general,inactive,discord,english ,no,no,singular,no,no,no,no,https://discord.gg/baMQPrcnsG,ripperino
code dot ai,2.7,general,various,inactive,discord,english ,no,no,singular,no,no,no,no,https://github.com/CodedotAl,ded
Harmonai R&D,2.5,research,various,inactive,discord,english ,no,no,company,no,no,no,no,https://discord.gg/dCdqddaUPe,Dead; Check the harmonai server.
ai/ml start,2.2,general,start to ml,inactive,discord,english ,no,no,singular,no,no,no,nonono,https://discord.gg/AnKvDXXBuM,death
taysir competition,1.8,general,conference thats over,inactive,discord,english ,no,no,academia,no,no,no,nono,-,did you know conferences have discords now
generated ai safety reports,1.6,alignment,"variosu reports,usually generated by ai",inactive,discord,english ,no,no,singular,no,no,no,no,-,died when everyone got access to deep research
automation and reproducibility for ai/ml systems,1.6,research,automation and reproducubility for ai/ml,inactive,discord,english ,no,no,singular,no,no,no,no,https://discord.gg/E675jBUJWV,daed
open empathetic,1.3,research,emotions in ai,inactive,discord,english ,no,no,company,no,no,no,no,https://laion.ai/blog/opennoempathic/,creators went on to do other cool stuff
seons server,0,general,i made the sheet,inactive,discord,english ,no,no,singular,no,no,no,no,-,maybe ill do something with it one day
agora,0,research,kye,very active,discord,english ,no,no,singular,yes,yes,no,no,https://huggingface.co/AgoraX, code is awful among other things (stealing code/copying repos for starters) Theres a lot more drama but i don't have the full grasp of it
